input,output
"Sad / Down: I'm feeling really vulnerable right now","Your feelings are understandable given what you're going through. Remember that healing isn't linear."
"Sad / Down: Nothing makes me happy anymore","I acknowledge your pain and want you to know that it's okay to take things one moment at a time."
"Sad / Down: I feel so heavy and sad, and I'm running out of energy. Please help me understand this","I hear you, and I want you to know that it's okay to feel sad. Your emotions are valid."
"Sad / Down: I feel like giving up on everything, and it's affecting everything in my life","I hear you, and I want you to know that feeling down doesn't make you a burden. You matter."
"Sad / Down: I'm so exhausted emotionally. I feel like I'm failing everyone","I understand that you're struggling. Remember that it's okay to take things slowly and be gentle with yourself."
"Sad / Down: I'm having a really hard time. I just want to feel okay again","Your feelings matter, and it's important that you're expressing them. You're taking an important step by acknowledging how you feel."
"Sad / Down: Everything feels overwhelming right now","I'm sorry you're experiencing this. Please know that these feelings are temporary, even though they feel overwhelming right now."
"Sad / Down: I'm feeling really vulnerable right now","I'm here for you. What you're experiencing is difficult, but you have the strength to get through this."
"Sad / Down: I feel abandoned, and it's affecting everything in my life. I need support","Your feelings matter, and it's important that you're expressing them. You're taking an important step by acknowledging how you feel."
"Sad / Down: I feel numb to everything, but I don't know where to turn. I need support","I hear you, and I want you to know that it's okay to feel sad. Your emotions are valid."
"Sad / Down: I'm tired of pretending I'm okay","I hear you, and your feelings are completely valid. It's okay to feel this way, and you're not alone in this experience."
"Sad / Down: I feel hopeless about the future","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I'm feeling really fragile today","Your feelings matter, and it's important that you're expressing them instead of bottling them up."
"Sad / Down: I feel empty inside. I want to feel better","Thank you for sharing how you feel. Remember that seeking support is a sign of strength, not weakness."
"Sad / Down: I feel stuck in this sadness","I'm here with you. What you're feeling is valid, and you don't have to pretend to be okay."
"Sad / Down: I feel like giving up, but nobody can see how much I'm hurting","I hear you, and I want you to know that feeling this way doesn't make you weak. It makes you human."
"Sad / Down: I'm struggling with my self-worth. I'm trying to stay strong but it's hard. Please help me understand this","What you're going through sounds really hard. Remember that you don't have to face this alone."
"Sad / Down: I'm struggling to get through each day. I just need someone to understand","I understand that things feel heavy right now. Remember to be gentle with yourself during this difficult time."
"Sad / Down: I'm so exhausted emotionally","What you're experiencing sounds incredibly difficult. Please be patient with yourself as you navigate these feelings."
"Sad / Down: I'm feeling really low today. I'm afraid to reach out for help","I hear you, and I want you to know that feeling this way doesn't make you weak. It makes you human."
"Sad / Down: I'm feeling really down and don't know why. I just need someone to understand","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I feel like giving up. I miss feeling like myself","It's okay to not be okay. What you're feeling is a natural human experience, and you deserve compassion and understanding."
"Sad / Down: I'm struggling to get through each day. I can't remember the last time I felt happy","It's okay to not be okay. What you're feeling is a natural human experience, and you deserve compassion and understanding."
"Sad / Down: Everything feels overwhelming right now. Nobody seems to understand what I'm going through. Please help me understand this","Your feelings are understandable given what you're going through. Remember that healing isn't linear."
"Sad / Down: I feel so alone today. I can't remember the last time I felt happy","Thank you for trusting yourself enough to express these feelings. That's an important act of self-care."
"Sad / Down: I feel like giving up on everything, but I don't know where to turn","I hear you, and I want you to know that feeling down doesn't make you a burden. You matter."
"Sad / Down: I feel like I'm invisible. I need support","I understand that things feel overwhelming. Remember to breathe and take things one moment at a time."
"Sad / Down: I'm having trouble seeing the good in anything, and I'm exhausted from pretending","I understand that you're struggling. Remember that it's okay to take things slowly and be gentle with yourself."
"Sad / Down: I'm tired of pretending I'm okay","I understand that you're hurting. Please be patient with yourself as you navigate these difficult emotions."
"Sad / Down: I'm feeling really down and don't know why","I'm sorry you're feeling this way. Your emotions are valid, and it's okay to express them."
"Sad / Down: I'm so disappointed in myself","Your feelings are completely understandable. Remember that it's okay to not have all the answers right now."
"Sad / Down: I feel broken inside. I'm scared it will always be like this","I'm sorry things feel so heavy. Remember that you're not alone, and it's okay to reach out for support."
"Sad / Down: I feel so defeated. I just want to feel okay again","Your feelings deserve to be acknowledged. You're doing the best you can with what you have right now."
"Sad / Down: I feel abandoned. I need support","I understand that things feel heavy right now. Remember to be gentle with yourself during this difficult time."
"Sad / Down: Everything feels pointless, and I'm exhausted from pretending","I hear you, and I want you to know that feeling this way doesn't make you weak. It makes you human."
"Sad / Down: I don't see the point in trying anymore. I just need someone to understand. It feels never-ending","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I'm struggling to find meaning in anything","Your feelings matter, and it's important that you're expressing them. You're taking an important step by acknowledging how you feel."
"Sad / Down: I can't stop crying today, but I keep putting on a brave face","I'm here for you. What you're experiencing is difficult, but you have the strength to get through this."
"Sad / Down: I'm struggling to find meaning in anything. I'm afraid to reach out for help","Your feelings matter, and it's important that you're expressing them instead of bottling them up."
"Sad / Down: I'm losing motivation for everything, and it's getting harder each day","Your feelings are completely understandable. Remember that it's okay to not have all the answers right now."
"Sad / Down: I'm so sad and don't know how to cope. I feel like I'm failing everyone","Thank you for sharing. Your honesty is a strength, and you're taking important steps toward healing."
"Sad / Down: Nothing seems to be going right, and I don't know how to move forward","I understand that everything feels difficult right now. Please remember to show yourself compassion."
"Sad / Down: I'm feeling really low today. I just want to feel okay again","Thank you for being honest about your feelings. That takes courage, and you should be proud of yourself."
"Sad / Down: I'm so sad and don't know how to cope","I'm here with you. What you're feeling is valid, and you don't have to pretend to be okay."
"Sad / Down: I feel like I'm failing at everything. I feel like I'm failing everyone. Please help me understand this","Your emotions are real and important. It's okay to take the time you need to process how you're feeling."
"Sad / Down: I can't find a reason to smile. I don't want to burden anyone with this","Thank you for sharing. Your honesty is a strength, and you're taking important steps toward healing."
"Sad / Down: I feel like I'm drowning in sadness, but I keep putting on a brave face","Your feelings are important and deserve to be heard. You're taking a brave step by acknowledging them."
"Sad / Down: I feel so alone today, but nobody can see how much I'm hurting","Thank you for being honest about your feelings. It's brave to face these emotions rather than push them away."
"Sad / Down: I'm carrying so much pain. I don't want to burden anyone with this. It feels never-ending","I want you to know that your feelings are real and important. You don't have to go through this alone."
"Sad / Down: Everything feels pointless. I wish I could just make it stop","I'm sorry you're experiencing this. Please know that these feelings are temporary, even though they feel overwhelming right now."
"Sad / Down: I feel like I'm not enough","Thank you for sharing how you feel. Remember that seeking support is a sign of strength, not weakness."
"Sad / Down: I'm so disappointed in myself, and it's getting harder each day","Thank you for being honest about your feelings. That takes courage, and you should be proud of yourself."
"Sad / Down: Everything feels pointless, and it's affecting everything in my life","Your feelings are important and deserve to be heard. You're taking a brave step by acknowledging them."
"Sad / Down: I feel like giving up","What you're going through sounds really hard. Remember that you don't have to face this alone."
"Sad / Down: I can't stop crying today. I'm scared it will always be like this. I want to feel better","I understand that things feel overwhelming. Remember to breathe and take things one moment at a time."
"Sad / Down: I feel so defeated","What you're feeling is valid. Please remember that difficult feelings pass, even when they feel permanent."
"Sad / Down: I can't find a reason to smile, and I don't know how to move forward","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I'm struggling to get through each day. Please help me understand this","Thank you for sharing how you're feeling. What you're going through sounds really difficult, and it takes courage to acknowledge these emotions."
"Sad / Down: I'm struggling to get through each day, and it's getting harder each day","I understand that things feel heavy right now. Remember to be gentle with yourself during this difficult time."
"Sad / Down: I'm carrying so much pain, but I'm trying my best. I want to feel better","I acknowledge your pain and want you to know that it's okay to take things one moment at a time."
"Sad / Down: I feel empty inside. Please help me understand this","I understand that you're hurting. Please be patient with yourself as you navigate these difficult emotions."
"Sad / Down: I'm struggling to find meaning in anything","I'm sorry things feel so heavy. Remember that you're not alone, and it's okay to reach out for support."
"Sad / Down: I'm feeling really low today","I understand that everything feels heavy right now. Small steps are still progress, even when they don't feel like it."
